"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"11";"While China is not specifically mentioned in the order, all of those are areas are part of the ""Made in China 2025"" drive started seven years ago by President Xi Jinping, and they are also technologies in which the United States is now investing more federal resources.";"虽然命令中没有具体提到中国 ， 但习近平主席在七年前启动的《中国制造2025》计划涵盖了所有这些领域 ， 而美国也正在对这些技术投入更多联邦资源。";"虽然该命令中没有具体提到中国 ， 但所有这些领域都是习近平主席七年前开始的 “ 中国制造2025 ” 运动的一部分 ， 也是美国现在投入更多联邦资源的技术。";"虽然该命令中没有具体提到中国 ， 但所有这些领域都是习近平主席七年前开始的 “ 中国制造2025 ” 运动的一部分 ， 也是美国现在投入更多联邦资源的技术。";"5.669791";"5.669791"
"12";"To some degree the presidential order formalizes a new, broader interpretation of the committee's authority that has been underway for several years. White House officials say that they believe Mr. Biden's order to focus CFIUS on certain technologies does not require amending its authorizing laws, which date back to the group's creation during the Gerald Ford administration.";"某种程度上 ， 这项总统命令算是正式对该委员会的职权范围做出了更宽泛的新解释 ， 而这种权限的扩张已经持续了多年。白宫官员表示 ， 他们认为拜登下令让外国投资委员会专注于某些技术 ， 并不需要修订其授权法律 ， 这一惯例可以追溯到福特政府任内该委员会刚创立的时候。";"在某种程度上 ， 总统令正式确定了对委员会权力的新的 ， 更广泛的解释 ， 这种解释已经进行了几年。 白宫官员表示 ， 他们认为拜登将cfius的重点放在某些技术的命令并不需要修改其授权法律 ， 这些法律可以追溯到该组织在杰拉尔德 · 福特政府期间的创建。";"在某种程度上 ， 总统令正式确定了对委员会权力的新的 ， 更广泛的解释 ， 这种解释已经进行了几年。 白宫官员表示 ， 他们认为拜登将cfius的重点放在某些技术的命令并不需要修改其授权法律 ， 这些法律可以追溯到该组织在杰拉尔德 · 福特政府期间的创建。";"4.246549";"4.246549"
"13";"For most of its history, CIFIUS only examined transactions in which a foreign firm sought to purchase a controlling interest in an American company that dealt in sensitive technologies. It blocked several such sales, often because it concluded that the firms provided weapons systems or products used by the intelligence agencies. (The Department of Defense and intelligence officials are members of the committee.) In other cases, American firms were required to divest themselves of a sensitive product or technology before the transaction could go through.";"在其存在的大部分时间里 ， 外国投资委员会都只审查外企试图收购涉及敏感技术的美国企业控股权的交易。它曾叫停过多起此类收购 ， 通常是因为断定这些企业提供了武器系统或情报机构使用的产品。 ( 该委员会由国防部官员和情报官员构成。 ) 在其它情况下 ， 也有美国企业被要求要在收购完成前放弃敏感产品或技术。";"在其历史的大部分时间里 ， cifius只审查外国公司试图购买一家经营敏感技术的美国公司的控股权益的交易。 它阻止了几次这样的销售 ， 通常是因为它得出结论 ， 这些公司提供武器系统或情报机构使用的产品。 （ 国防部和情报官员是该委员会的成员。 在其他情况下 ， 美国公司被要求在交易完成之前剥离敏感产品或技术。";"在其历史的大部分时间里 ， cifius只审查外国公司试图购买一家经营敏感技术的美国公司的控股权益的交易。 它阻止了几次这样的销售 ， 通常是因为它得出结论 ， 这些公司提供武器系统或情报机构使用的产品。 （ 国防部和情报官员是该委员会的成员。 在其他情况下 ， 美国公司被要求在交易完成之前剥离敏感产品或技术。";"4.065425";"4.065425"
"14";"But over time it became obvious that a foreign firm did not need a majority share in a company in order to access key technologies. So over the past seven or so years, the power of the interagency group has expanded significantly, and it now has the power to block even a minority investment. That was driven, in part, out of fears that Chinese state-owned firms were setting up venture capital funds in Silicon Valley and beyond to get an early look at new technologies.";"但随着时间推移 ， 可以明显看出外国企业不需要掌握一家公司的多数股权也能获取关键技术。因此 ， 在过去七年左右的时间里 ， 这个跨部门组织的职权范围显著扩大 ， 如今甚至有权否决少数股权投资。这在一定程度上是出于对中国国有企业在硅谷等地设立风险投资基金行为的担忧 ， 其目的是为了尽早接触到新技术。";"但随着时间的推移 ， 很明显 ， 外国公司不需要在公司中占多数股份才能获得关键技术。 因此 ， 在过去七年左右的时间里 ， 跨部门集团的权力大幅增加 ， 现在它甚至有能力阻止少数人的投资。 部分原因是担心中国国有企业正在硅谷及其他地区设立风险投资基金 ， 以便及早了解新技术。";"但随着时间的推移 ， 很明显 ， 外国公司不需要在公司中占多数股份才能获得关键技术。 因此 ， 在过去七年左右的时间里 ， 跨部门集团的权力大幅增加 ， 现在它甚至有能力阻止少数人的投资。 部分原因是担心中国国有企业正在硅谷及其他地区设立风险投资基金 ， 以便及早了解新技术。";"11.633271";"11.633271"
"15";"A White House statement said the new order would enshrine that approach, and look not at the size of the investment but at the characteristics of the technology itself, including ""advancements and applications in technology that could undermine national security.""";"白宫的一份声明称 ， 这项新命令将把这种监管程序正式化 ， 关注点并不在于投资规模 ， 而是要看技术本身的性质 ， 包括 "" 可能损害国家安全的技术进步及应用 "" 。";"白宫的一份声明说 ， 新命令将体现这种方法 ， 而不是看投资的规模 ， 而是看技术本身的特征 ， 包括 “ 可能破坏国家安全的技术进步和应用 ” 。";"白宫的一份声明说 ， 新命令将体现这种方法 ， 而不是看投资的规模 ， 而是看技术本身的特征 ， 包括 “ 可能破坏国家安全的技术进步和应用 ” 。";"8.130851";"8.130851"
"16";"The CFIUS members would not have to establish that a technology was currently vital to national security as long as it had that potential. For example, artificial intelligence software or quantum computers that would create strong encryption of data, or break that encryption, could trigger government action to keep the technology from the hands of Chinese or other competitors.";"只要一项技术可能带来这种风险 ， 外国投资委员会的成员无需确认该技术目前对国家安全的重要性也能进行决策。例如 ， 能创建或破解强大数据加密的人工智能软件或量子计算机就可能引来政府采取行动 ， 以阻止该技术落入中国或其他竞争对手的手中。";"cfius成员不必确定一项技术目前对国家安全至关重要 ， 只要它具有这种潜力。 例如 ， 人工智能软件或量子计算机可以创建强大的数据加密 ， 或打破这种加密 ， 可能会引发政府采取行动 ， 使这项技术远离中国或其他竞争对手。";"cfius成员不必确定一项技术目前对国家安全至关重要 ， 只要它具有这种潜力。 例如 ， 人工智能软件或量子计算机可以创建强大的数据加密 ， 或打破这种加密 ， 可能会引发政府采取行动 ， 使这项技术远离中国或其他竞争对手。";"4.456883";"4.456883"
"17";"The order also authorizes the committee to block any deal that ""erodes United States cybersecurity."" And it urges review of ""incremental investments over time in a sector or technology"" that could ""cede, part-by-part, domestic development or control in that sector or technology.""";"该命令还授权委员会阻止任何 "" 损害美国网络安全 "" 的交易。同时它还敦促审查 "" 对某一部门或技术的逐步增量投资 "" ， 因其可能导致 "" 本土研发或对该部门及技术控制的逐步丧失 "" 。";"该命令还授权委员会阻止任何 “ 侵蚀美国网络安全 ” 的交易。 它敦促审查 “ 随着时间的推移 ， 对一个部门或技术的增量投资 ” ， 这可能 “ 逐渐放弃该部门或技术的国内发展或控制 ” 。";"该命令还授权委员会阻止任何 “ 侵蚀美国网络安全 ” 的交易。 它敦促审查 “ 随着时间的推移 ， 对一个部门或技术的增量投资 ” ， 这可能 “ 逐渐放弃该部门或技术的国内发展或控制 ” 。";"3.009804";"3.009804"
"18";"President Vladimir V. Putin acknowledged on Thursday that China had ""questions and concerns"" about Russia's war in Ukraine, a notable, if cryptic, admission that Moscow lacks the full backing of its biggest, most powerful partner on the world stage.";"总统普京周四承认 ， 中国对俄罗斯在乌克兰的战争存在 "" 疑问和担忧 "" ， 这是一个虽然比较隐晦但值得注意的表态 ， 表明莫斯科缺乏其在世界舞台上最大、最具影响力的伙伴的全力支持。";"普京周四承认 ， 中国对俄罗斯在乌克兰的战争有 “ 疑问和担忧 ” ， 这是一个值得注意的 ， 即使是神秘的 ， 承认莫斯科缺乏其在世界舞台上最大 ， 最强大的合作伙伴的全力支持。";"普京周四承认 ， 中国对俄罗斯在乌克兰的战争有 “ 疑问和担忧 ” ， 这是一个值得注意的 ， 即使是神秘的 ， 承认莫斯科缺乏其在世界舞台上最大 ， 最强大的合作伙伴的全力支持。";"4.016138";"4.016138"
"19";"Mr. Putin met China's leader, Xi Jinping, on Thursday in their first in-person meeting since Russia invaded Ukraine, and as Mr. Xi traveled abroad for the first time since the start of the pandemic. But rather than put on a show of Eurasian unity against the West as Russia struggled to recover from last week's humiliating military retreat in northeastern Ukraine, the two leaders struck discordant notes in their public remarks and Mr. Xi made no mention of Ukraine at all.";"周四 ， 普京会见了中国领导人习近平 ， 这是他们自俄罗斯入侵乌克兰以来的首次面对面会晤 ， 也是习近平自疫情暴发以来首次出访。然而 ， 在俄罗斯努力从上周在乌克兰东北部遭遇耻辱性的军事挫败中恢复之际 ， 两位领导人并没有表现出对抗西方的欧亚团结 ， 而且在公开讲话中的调子也不一致 —— 习近平对乌克兰只字不提。";"普京周四会见了中国领导人习近平 ， 这是自俄罗斯入侵乌克兰以来的首次面对面会晤 ， 也是自疫情开始以来习近平首次出国。 但是 ， 当俄罗斯努力从上周乌克兰东北部羞辱性的军事撤退中恢复过来时 ， 两位领导人并没有表现出欧亚大陆对西方的团结 ， 而是在公开讲话中留下了不一致的笔记 ， 习近平根本没有提到乌克兰。";"普京周四会见了中国领导人习近平 ， 这是自俄罗斯入侵乌克兰以来的首次面对面会晤 ， 也是自疫情开始以来习近平首次出国。 但是 ， 当俄罗斯努力从上周乌克兰东北部羞辱性的军事撤退中恢复过来时 ， 两位领导人并没有表现出欧亚大陆对西方的团结 ， 而是在公开讲话中留下了不一致的笔记 ， 习近平根本没有提到乌克兰。";"4.138190";"4.138190"
"20";"""We highly appreciate the balanced position of our Chinese friends in connection with the Ukrainian crisis,"" Mr. Putin said in televised remarks at the start of the meeting. ""We understand your questions and concerns in this regard.""";""" 我们高度赞赏我们的中国朋友在乌克兰危机问题上的公平立场 ， "" 普京在会议开始时的电视讲话中说。 "" 我们理解你们在这方面的疑问和担忧。 """;"“ 我们高度赞赏中国朋友在乌克兰危机问题上的平衡立场 ，” 普京在会晤开始时的电视讲话中说。 "" 我们理解您在这方面的问题和担忧。 """;"“ 我们高度赞赏中国朋友在乌克兰危机问题上的平衡立场 ，” 普京在会晤开始时的电视讲话中说。 "" 我们理解您在这方面的问题和担忧。 """;"6.770186";"6.770186"
"21";"It was a moment, on the sidelines of a regional summit in Uzbekistan, that showed the daunting political straits Mr. Putin finds himself in nearly seven months into his invasion of Ukraine. On the battlefield, Russia has lost more than 1,000 square miles of territory this month, rendering the prospect of a decisive victory over a Western-armed Ukraine as remote as ever. At home, Mr. Putin is facing unusual criticism from some supporters over his slow military progress.";"俄罗斯入侵乌克兰已将近七个月 ， 而在乌兹别克斯坦举行的地区峰会期间 ， 普京发现自己陷入了严峻的政治困境。在战场上 ， 俄罗斯本月已经失去了2500多平方公里的土地 ， 决定性地战胜受到西方武装的乌克兰的可能性从未如此渺茫。在国内 ， 普京因军事进展缓慢而面临一些支持者的罕见批评。";"在乌兹别克斯坦举行的地区峰会期间 ， 这一时刻表明普京在入侵乌克兰近七个月后发现了令人生畏的政治海峡。 在战场上 ， 俄罗斯本月失去了1000多平方英里的领土 ， 使得对西方武装的乌克兰取得决定性胜利的前景一如既往。 在国内 ， 普京正面临着一些支持者对他缓慢的军事进展的不寻常的批评。";"在乌兹别克斯坦举行的地区峰会期间 ， 这一时刻表明普京在入侵乌克兰近七个月后发现了令人生畏的政治海峡。 在战场上 ， 俄罗斯本月失去了1000多平方英里的领土 ， 使得对西方武装的乌克兰取得决定性胜利的前景一如既往。 在国内 ， 普京正面临着一些支持者对他缓慢的军事进展的不寻常的批评。";"5.300157";"5.300157"
"22";"And internationally, as the West continues to ratchet up sanctions against the Kremlin, the Russian president on Thursday saw Mr. Xi who had pledged a friendship with ""no limits"" just three weeks before Russia invaded conspicuously withhold any public support for Mr. Putin's war.";"在国际上 ， 随着西方继续加大对克里姆林宫的制裁 ， 普京周四看到习近平明显拒绝公开支持他的战争 ， 尽管在俄罗斯入侵前三周 ， 习近平曾承诺两国之间的友谊 "" 没有止境 "" 。";"在国际上 ， 随着西方继续加大对克里姆林宫的制裁 ， 俄罗斯总统周四看到习近平在俄罗斯入侵前三周承诺友谊 “ 没有限制 ” 。";"在国际上 ， 随着西方继续加大对克里姆林宫的制裁力度 ， 俄罗斯总统周四看到习近平在俄罗斯入侵前三周承诺 “ 没有限制 ” 的友谊。";"20.235554";"6.766165"
"23";"Instead, in a statement issued after their meeting, China said it was ""willing to work with Russia to demonstrate the responsibility of a major country, play a leading role, and inject stability into a turbulent world."" To scholars who study the between-the-lines messaging of the Chinese government's public remarks, it sounded like an implicit rebuke.";"中方在会晤后的声明中表示 : "" 中方愿同俄方一道努力 ， 体现大国担当 ， 发挥引领作用 ， 为变乱交织的世界注入稳定性。 "" 对于研究中国政府公开表态的弦外之音的学者来说 ， 这听起来像是一种含蓄的谴责。";"相反 ， 在会后发表的一份声明中 ， 中国表示 “ 愿意与俄罗斯合作 ， 展示一个大国的责任 ， 发挥主导作用 ， 并为动荡的世界注入稳定。 对于研究中国政府公开言论的两条线之间的信息的学者来说 ， 这听起来像是一种隐含的谴责。";"相反 ， 在会后发表的一份声明中 ， 中国表示 “ 愿意与俄罗斯合作 ， 展示一个大国的责任 ， 发挥主导作用 ， 并为动荡的世界注入稳定。 对于研究中国政府公开言论的两条线之间的信息的学者来说 ， 这听起来像是一种隐含的谴责。";"3.458592";"3.458592"
"24";"Sergey Radchenko, a professor at the Johns Hopkins School of Advanced International Studies, said the statement appeared to telegraph ""a reproach to the Russians, that they're not acting like a great power, that they are creating instability."" Shi Yinhong, a longtime professor of international relations at Renmin University in Beijing, said it was ""the most prudent or most low-key statement in years on Xi's part on the strategic relationship between the two countries.""";"约翰霍普金斯大学高级国际研究学院教授谢尔盖 · 拉琴科表示 ， 该声明似乎是在向 "" 俄罗斯人发出谴责 ， 他们的行为不像一个大国 ， 他们正在制造不稳定 "" 。北京人民大学国际关系教授时殷弘说 ， 这是 "" 习近平多年来对两国战略关系最谨慎或最低调的表态 "" 。";"约翰霍普金斯大学高级国际研究学院 ( johns hopkins school of advanced international studies ) 教授谢尔盖 · 拉琴科 ( sergey radchenko ) 表示 ， 这一声明似乎是 “ 对俄罗斯人的责备 ， 他们的行为并不像一个大国 ， 他们正在制造不稳定 ” 。 中国人民大学国际关系教授时殷弘表示 ， 这是 “ 习近平多年来就两国战略关系发表的最谨慎或最低调的声明 ” 。";"约翰霍普金斯大学高级国际研究学院 ( johns hopkins school of advanced international studies ) 教授谢尔盖 · 拉琴科 ( sergey radchenko ) 表示 ， 这一声明似乎是 “ 对俄罗斯人的责备 ， 他们的行为并不像一个大国 ， 他们正在制造不稳定 ” 。 中国人民大学国际关系教授时殷弘表示 ， 这是 “ 习近平多年来就两国战略关系发表的最谨慎或最低调的声明 ” 。";"3.551851";"3.551851"
"25";"Accentuating the dissonance, even as Mr. Xi said nothing on camera about Ukraine, Mr. Putin at Thursday's meeting backed Beijing in its confrontation over Taiwan, where tensions rose last month amid a visit by U.S. House Speaker Nancy Pelosi to lend support for Taiwan's resistance to pressure from Beijing, which claims the self-ruled island democracy.";"虽然习近平在镜头前对乌克兰只字未提 ， 但在周四的会晤中 ， 普京支持北京在台湾问题上的对抗 ， 使得这种不一致更显突兀。北京声称对自治岛屿台湾拥有主权 ， 上个月 ， 美国众议院议长佩洛西访台 ， 支持台湾抵抗来自北京的压力 ， 使紧张局势加剧。";"尽管习近平在镜头前对乌克兰什么也没说 ， 但普京在周四的会议上支持北京在台湾问题上的对抗 ， 上个月美国众议院议长南希 · 佩洛西 ( nancy pelosi ) 访问台湾 ， 支持台湾抵抗来自北京的压力 ， 北京声称拥有自治的岛屿民主。";"尽管习近平在镜头前对乌克兰什么也没说 ， 但普京在周四的会议上支持北京在台湾问题上的对抗 ， 上个月美国众议院议长南希 · 佩洛西 ( nancy pelosi ) 访问台湾 ， 支持台湾抵抗来自北京的压力 ， 北京声称拥有自治的岛屿民主。";"10.343603";"10.343603"
